time_s,emg_raw_mV
0.000,0.003657
0.001,-0.011553
0.002,0.010769
0.003,0.013714
0.004,-0.020559
0.005,-0.012626
0.006,0.004387
0.007,-0.001368
0.008,0.001562
0.009,-0.009309
0.010,0.010553
0.011,0.008406
0.012,-0.000971
0.013,0.011100
0.014,0.002757
0.015,-0.013312
0.016,0.001572
0.017,-0.013934
0.018,0.008778
0.019,-0.001526
0.020,-0.002218
0.021,-0.007244
0.022,0.016434
0.023,0.000573
0.024,-0.002287
0.025,-0.001226
0.026,0.009241
0.027,0.006812
0.028,0.006716
0.029,0.006097
0.030,0.025700
0.031,-0.005804
0.032,-0.007910
0.033,-0.012192
0.034,0.004539
0.035,0.010548
0.036,-0.004221
0.037,-0.012509
0.038,-0.011657
0.039,0.006880
0.040,0.008919
0.041,0.007445
0.042,-0.006223
0.043,0.005213
0.044,0.004253
0.045,0.005624
0.046,0.013310
0.047,0.005110
0.048,0.009910
0.049,0.001738
0.050,0.003469
0.051,0.006648
0.052,-0.019249
0.053,-0.006263
0.054,-0.008498
0.055,-0.010667
0.056,-0.006155
0.057,0.015512
0.058,-0.012153
0.059,0.010692
0.060,-0.020194
0.061,-0.003092
0.062,0.003716
0.063,0.009462
0.064,0.011388
0.065,0.012520
0.066,-0.001332
0.067,-0.003121
0.068,0.012059
0.069,-0.001369
0.070,-0.015308
0.071,-0.014526
0.072,-0.012797
0.073,0.003539
0.074,-0.001144
0.075,0.005286
0.076,-0.007980
0.077,-0.000525
0.078,0.005744
0.079,-0.004639
0.080,0.005481
0.081,-0.007016
0.082,-0.002593
0.083,-0.002154
0.084,-0.011497
0.085,0.008844
0.086,-0.002780
0.087,0.002577
0.088,0.007532
0.089,0.006285
0.090,0.007985
0.091,-0.002109
0.092,-0.006843
0.093,-0.003384
0.094,-0.023101
0.095,-0.020365
0.096,-0.018726
0.097,-0.014394
0.098,0.003034
0.099,-0.011793
0.100,-0.004538
0.101,0.016518
0.102,-0.002512
0.103,0.011277
0.104,-0.008350
0.105,0.000535
0.106,-0.008547
0.107,-0.001641
0.108,0.011847
0.109,-0.019801
0.110,0.005213
0.111,0.001926
0.112,-0.008893
0.113,-0.019780
0.114,-0.001988
0.115,-0.009354
0.116,-0.000061
0.117,-0.002165
0.118,0.017458
0.119,-0.003799
0.120,-0.012282
0.121,0.003078
0.122,0.004403
0.123,0.018737
0.124,0.012875
0.125,0.007282
0.126,0.020413
0.127,-0.011838
0.128,-0.005914
0.129,-0.010192
0.130,-0.004678
0.131,-0.017447
0.132,0.005858
0.133,-0.005094
0.134,-0.020503
0.135,-0.015187
0.136,0.000909
0.137,0.007630
0.138,0.022197
0.139,0.034039
0.140,0.004973
0.141,-0.010947
0.142,-0.023821
0.143,0.005640
0.144,-0.006902
0.145,-0.001984
0.146,-0.004492
0.147,0.000738
0.148,0.014555
0.149,0.002812
0.150,-0.001904
0.151,-0.013355
0.152,-0.021860
0.153,-0.008263
0.154,-0.003499
0.155,0.018215
0.156,-0.001290
0.157,0.009366
0.158,-0.007755
0.159,-0.015146
0.160,-0.011581
0.161,-0.007776
0.162,0.027305
0.163,-0.007430
0.164,0.012915
0.165,-0.007835
0.166,0.014032
0.167,0.007046
0.168,-0.000116
0.169,0.000438
0.170,-0.007857
0.171,0.004426
0.172,-0.007223
0.173,-0.017134
0.174,-0.018188
0.175,-0.000929
0.176,0.016096
0.177,-0.000507
0.178,-0.003187
0.179,0.002503
0.180,0.015672
0.181,0.003560
0.182,-0.003168
0.183,0.015703
0.184,0.007998
0.185,0.021429
0.186,0.005052
0.187,-0.012267
0.188,-0.014655
0.189,0.020738
0.190,0.020684
0.191,-0.003081
0.192,-0.006362
0.193,0.015110
0.194,-0.016138
0.195,-0.013737
0.196,0.004867
0.197,-0.007162
0.198,-0.001825
0.199,-0.002888
0.200,0.004051
0.201,0.017817
0.202,0.002850
0.203,0.010154
0.204,-0.021749
0.205,0.002415
0.206,-0.007266
0.207,-0.012199
0.208,-0.008774
0.209,-0.003082
0.210,0.010991
0.211,-0.016844
0.212,-0.001396
0.213,-0.008237
0.214,-0.006785
0.215,0.009033
0.216,0.003604
0.217,0.013622
0.218,-0.003617
0.219,-0.009278
0.220,-0.002686
0.221,0.003837
0.222,0.003882
0.223,-0.010586
0.224,0.003939
0.225,0.005739
0.226,0.033063
0.227,0.024949
0.228,-0.008476
0.229,-0.002522
0.230,-0.017561
0.231,-0.008016
0.232,0.002024
0.233,0.012043
0.234,-0.011602
0.235,-0.010850
0.236,-0.028621
0.237,-0.004379
0.238,-0.014512
0.239,-0.007280
0.240,-0.010522
0.241,-0.000204
0.242,-0.019329
0.243,-0.015177
0.244,0.028404
0.245,-0.012449
0.246,-0.010308
0.247,0.024470
0.248,0.036624
0.249,-0.013132
0.250,-0.004419
0.251,0.003172
0.252,0.018981
0.253,-0.014269
0.254,-0.005797
0.255,0.006328
0.256,0.002364
0.257,-0.006941
0.258,-0.003369
0.259,-0.017426
0.260,-0.002858
0.261,-0.002270
0.262,0.004549
0.263,-0.004237
0.264,0.008512
0.265,0.015153
0.266,0.004718
0.267,0.006648
0.268,0.002401
0.269,0.000928
0.270,-0.008659
0.271,0.002871
0.272,-0.002931
0.273,0.022691
0.274,0.016027
0.275,0.001630
0.276,-0.012010
0.277,-0.015776
0.278,0.012530
0.279,0.002226
0.280,0.005762
0.281,-0.020008
0.282,0.012893
0.283,0.007880
0.284,-0.010472
0.285,-0.002658
0.286,0.006018
0.287,0.003057
0.288,-0.001743
0.289,-0.000315
0.290,-0.003024
0.291,0.000904
0.292,0.015895
0.293,-0.033227
0.294,-0.005695
0.295,-0.000882
0.296,0.000699
0.297,-0.006890
0.298,-0.022844
0.299,0.003009
0.300,0.020728
0.301,-0.017479
0.302,0.012129
0.303,-0.001515
0.304,0.002117
0.305,-0.009635
0.306,-0.001160
0.307,0.018028
0.308,0.008755
0.309,0.021715
0.310,0.014129
0.311,0.004342
0.312,0.019164
0.313,0.002841
0.314,0.007083
0.315,-0.006559
0.316,-0.002055
0.317,-0.010796
0.318,0.010112
0.319,-0.015067
0.320,0.009388
0.321,-0.001361
0.322,0.015818
0.323,0.011437
0.324,0.024701
0.325,0.011769
0.326,-0.016011
0.327,0.001624
0.328,-0.012301
0.329,-0.005292
0.330,0.018135
0.331,0.006723
0.332,-0.010151
0.333,-0.014592
0.334,-0.002460
0.335,-0.017599
0.336,-0.010907
0.337,0.001317
0.338,0.012100
0.339,0.006378
0.340,-0.027495
0.341,0.004579
0.342,0.002628
0.343,0.007394
0.344,0.022248
0.345,-0.021759
0.346,-0.004240
0.347,0.009518
0.348,-0.017216
0.349,0.018638
0.350,0.004420
0.351,0.009232
0.352,-0.008615
0.353,0.007338
0.354,0.009968
0.355,-0.000205
0.356,-0.000040
0.357,0.000817
0.358,-0.012123
0.359,-0.002697
0.360,-0.001830
0.361,0.005528
0.362,0.013761
0.363,-0.010275
0.364,0.001353
0.365,0.020777
0.366,-0.006070
0.367,-0.007440
0.368,0.004191
0.369,0.011060
0.370,0.000137
0.371,0.015020
0.372,0.008518
0.373,0.007675
0.374,0.003796
0.375,0.024932
0.376,-0.005315
0.377,-0.026469
0.378,0.017488
0.379,-0.006419
0.380,0.001295
0.381,0.016642
0.382,-0.017464
0.383,-0.012593
0.384,-0.016362
0.385,-0.006530
0.386,0.008129
0.387,0.008717
0.388,0.005079
0.389,-0.016026
0.390,-0.027721
0.391,-0.000275
0.392,-0.007425
0.393,0.003086
0.394,0.005570
0.395,-0.001341
0.396,0.006268
0.397,0.000323
0.398,0.004597
0.399,-0.009383
0.400,-0.002155
0.401,0.003288
0.402,0.011610
0.403,-0.002298
0.404,0.009107
0.405,-0.000190
0.406,0.001443
0.407,0.012381
0.408,-0.022153
0.409,-0.014631
0.410,-0.017786
0.411,-0.028930
0.412,-0.009903
0.413,0.006566
0.414,-0.006272
0.415,-0.000627
0.416,0.010217
0.417,0.013505
0.418,-0.002593
0.419,0.015316
0.420,0.001106
0.421,-0.009122
0.422,-0.005369
0.423,-0.015339
0.424,-0.007804
0.425,-0.001296
0.426,0.012496
0.427,0.023076
0.428,-0.014823
0.429,0.005641
0.430,-0.012487
0.431,0.004769
0.432,-0.003336
0.433,-0.024398
